Signal Legend:

Key        Signal Name

0        = debug_num1[6..0]
1        = KEY[2]
2        = HEX5[6..0]
3        = HEX4[6..0]
4        = HEX4[6]
5        = HEX4[5]
6        = HEX4[4]
7        = HEX4[3]
8        = HEX4[2]
9        = HEX4[1]
10       = HEX4[0]

Data Table:

Signals-> 0   1 2   3   4 5 6 7 8 9 10 

sample

-1024     00h 0 40h 02h 0 0 0 0 0 1 0  
-1023     00h 0 40h 02h 0 0 0 0 0 1 0  
-1022     00h 0 40h 02h 0 0 0 0 0 1 0  
-1021     00h 0 40h 02h 0 0 0 0 0 1 0  
-1020     00h 0 40h 02h 0 0 0 0 0 1 0  
-1019     00h 0 40h 02h 0 0 0 0 0 1 0  
-1018     00h 0 40h 02h 0 0 0 0 0 1 0  
-1017     00h 0 40h 02h 0 0 0 0 0 1 0  
-1016     00h 0 40h 02h 0 0 0 0 0 1 0  
-1015     00h 0 40h 02h 0 0 0 0 0 1 0  
-1014     00h 0 40h 02h 0 0 0 0 0 1 0  
-1013     00h 0 40h 02h 0 0 0 0 0 1 0  
-1012     00h 0 40h 02h 0 0 0 0 0 1 0  
-1011     00h 0 40h 02h 0 0 0 0 0 1 0  
-1010     00h 0 40h 02h 0 0 0 0 0 1 0  
-1009     00h 0 40h 02h 0 0 0 0 0 1 0  
-1008     00h 0 40h 02h 0 0 0 0 0 1 0  
-1007     00h 0 40h 02h 0 0 0 0 0 1 0  
-1006     00h 0 40h 02h 0 0 0 0 0 1 0  
-1005     00h 0 40h 02h 0 0 0 0 0 1 0  
-1004     00h 0 40h 02h 0 0 0 0 0 1 0  
-1003     00h 0 40h 02h 0 0 0 0 0 1 0  
-1002     00h 0 40h 02h 0 0 0 0 0 1 0  
-1001     00h 0 40h 02h 0 0 0 0 0 1 0  
-1000     00h 0 40h 02h 0 0 0 0 0 1 0  
-999      00h 0 40h 02h 0 0 0 0 0 1 0  
-998      00h 0 40h 02h 0 0 0 0 0 1 0  
-997      00h 0 40h 02h 0 0 0 0 0 1 0  
-996      00h 0 40h 02h 0 0 0 0 0 1 0  
-995      00h 0 40h 02h 0 0 0 0 0 1 0  
-994      00h 0 40h 02h 0 0 0 0 0 1 0  
-993      00h 0 40h 02h 0 0 0 0 0 1 0  
-992      00h 0 40h 02h 0 0 0 0 0 1 0  
-991      00h 0 40h 02h 0 0 0 0 0 1 0  
-990      00h 0 40h 02h 0 0 0 0 0 1 0  
-989      00h 0 40h 02h 0 0 0 0 0 1 0  
-988      00h 0 40h 02h 0 0 0 0 0 1 0  
-987      00h 0 40h 02h 0 0 0 0 0 1 0  
-986      00h 0 40h 02h 0 0 0 0 0 1 0  
-985      00h 0 40h 02h 0 0 0 0 0 1 0  
-984      00h 0 40h 02h 0 0 0 0 0 1 0  
-983      00h 0 40h 02h 0 0 0 0 0 1 0  
-982      00h 0 40h 02h 0 0 0 0 0 1 0  
-981      00h 0 40h 02h 0 0 0 0 0 1 0  
-980      00h 0 40h 02h 0 0 0 0 0 1 0  
-979      00h 0 40h 02h 0 0 0 0 0 1 0  
-978      00h 0 40h 02h 0 0 0 0 0 1 0  
-977      00h 0 40h 02h 0 0 0 0 0 1 0  
-976      00h 0 40h 02h 0 0 0 0 0 1 0  
-975      00h 0 40h 02h 0 0 0 0 0 1 0  
-974      00h 0 40h 02h 0 0 0 0 0 1 0  
-973      00h 0 40h 02h 0 0 0 0 0 1 0  
-972      00h 0 40h 02h 0 0 0 0 0 1 0  
-971      00h 0 40h 02h 0 0 0 0 0 1 0  
-970      00h 0 40h 02h 0 0 0 0 0 1 0  
-969      00h 0 40h 02h 0 0 0 0 0 1 0  
-968      00h 0 40h 02h 0 0 0 0 0 1 0  
-967      00h 0 40h 02h 0 0 0 0 0 1 0  
-966      00h 0 40h 02h 0 0 0 0 0 1 0  
-965      00h 0 40h 02h 0 0 0 0 0 1 0  
-964      00h 0 40h 02h 0 0 0 0 0 1 0  
-963      00h 0 40h 02h 0 0 0 0 0 1 0  
-962      00h 0 40h 02h 0 0 0 0 0 1 0  
-961      00h 0 40h 02h 0 0 0 0 0 1 0  
-960      00h 0 40h 02h 0 0 0 0 0 1 0  
-959      00h 0 40h 02h 0 0 0 0 0 1 0  
-958      00h 0 40h 02h 0 0 0 0 0 1 0  
-957      00h 0 40h 02h 0 0 0 0 0 1 0  
-956      00h 0 40h 02h 0 0 0 0 0 1 0  
-955      00h 0 40h 02h 0 0 0 0 0 1 0  
-954      00h 0 40h 02h 0 0 0 0 0 1 0  
-953      00h 0 40h 02h 0 0 0 0 0 1 0  
-952      00h 0 40h 02h 0 0 0 0 0 1 0  
-951      00h 0 40h 02h 0 0 0 0 0 1 0  
-950      00h 0 40h 02h 0 0 0 0 0 1 0  
-949      00h 0 40h 02h 0 0 0 0 0 1 0  
-948      00h 0 40h 02h 0 0 0 0 0 1 0  
-947      00h 0 40h 02h 0 0 0 0 0 1 0  
-946      00h 0 40h 02h 0 0 0 0 0 1 0  
-945      00h 0 40h 02h 0 0 0 0 0 1 0  
-944      00h 0 40h 02h 0 0 0 0 0 1 0  
-943      00h 0 40h 02h 0 0 0 0 0 1 0  
-942      00h 0 40h 02h 0 0 0 0 0 1 0  
-941      00h 0 40h 02h 0 0 0 0 0 1 0  
-940      00h 0 40h 02h 0 0 0 0 0 1 0  
-939      00h 0 40h 02h 0 0 0 0 0 1 0  
-938      00h 0 40h 02h 0 0 0 0 0 1 0  
-937      00h 0 40h 02h 0 0 0 0 0 1 0  
-936      00h 0 40h 02h 0 0 0 0 0 1 0  
-935      00h 0 40h 02h 0 0 0 0 0 1 0  
-934      00h 0 40h 02h 0 0 0 0 0 1 0  
-933      00h 0 40h 02h 0 0 0 0 0 1 0  
-932      00h 0 40h 02h 0 0 0 0 0 1 0  
-931      00h 0 40h 02h 0 0 0 0 0 1 0  
-930      00h 0 40h 02h 0 0 0 0 0 1 0  
-929      00h 0 40h 02h 0 0 0 0 0 1 0  
-928      00h 0 40h 02h 0 0 0 0 0 1 0  
-927      00h 0 40h 02h 0 0 0 0 0 1 0  
-926      00h 0 40h 02h 0 0 0 0 0 1 0  
-925      00h 0 40h 02h 0 0 0 0 0 1 0  
-924      00h 0 40h 02h 0 0 0 0 0 1 0  
-923      00h 0 40h 02h 0 0 0 0 0 1 0  
-922      00h 0 40h 02h 0 0 0 0 0 1 0  
-921      00h 0 40h 02h 0 0 0 0 0 1 0  
-920      00h 0 40h 02h 0 0 0 0 0 1 0  
-919      00h 0 40h 02h 0 0 0 0 0 1 0  
-918      00h 0 40h 02h 0 0 0 0 0 1 0  
-917      00h 0 40h 02h 0 0 0 0 0 1 0  
-916      00h 0 40h 02h 0 0 0 0 0 1 0  
-915      00h 0 40h 02h 0 0 0 0 0 1 0  
-914      00h 0 40h 02h 0 0 0 0 0 1 0  
-913      00h 0 40h 02h 0 0 0 0 0 1 0  
-912      00h 0 40h 02h 0 0 0 0 0 1 0  
-911      00h 0 40h 02h 0 0 0 0 0 1 0  
-910      00h 0 40h 02h 0 0 0 0 0 1 0  
-909      00h 0 40h 02h 0 0 0 0 0 1 0  
-908      00h 0 40h 02h 0 0 0 0 0 1 0  
-907      00h 0 40h 02h 0 0 0 0 0 1 0  
